DFT Energy (eV), CHGNet Energy (eV)
-5.347627137380952,-5.347627137380952
-5.347170291904762,-5.347170291904762
-5.346911635952381,-5.346911635952381
-5.346883330952381,-5.346883330952381
-5.347196053809524,-5.347196053809524
-5.347646938809524,-5.347646938809524
-5.348328863809524,-5.348328863809524
-5.349067862142857,-5.349067862142857
-5.350008967857143,-5.350008967857143
-5.351007032380953,-5.351007032380953
-5.352094881190476,-5.352094881190476
-5.352947780952381,-5.352947780952381
-5.353996044047619,-5.353996044047619
-5.355150767380953,-5.355150767380953
-5.356528658095239,-5.356528658095239
-5.3579371359523815,-5.3579371359523815
-5.359437372619048,-5.359437372619048
-5.360808727380952,-5.360808727380952
-5.3623328783333335,-5.3623328783333335
-5.363737996666667,-5.363737996666667
-5.3650298266666665,-5.3650298266666665
-5.366430534761905,-5.366430534761905
-5.367764405238096,-5.367764405238096
-5.36921891452381,-5.36921891452381
-5.370615436428571,-5.370615436428571
-5.371898024047619,-5.371898024047619
-5.373188665714285,-5.373188665714285
-5.374419310714286,-5.374419310714286
-5.375564330952381,-5.375564330952381
-5.376685141904762,-5.376685141904762
-5.377791232380953,-5.377791232380953
-5.378807636666666,-5.378807636666666
-5.37976311547619,-5.37976311547619
-5.380778428571428,-5.380778428571428
-5.381723541428571,-5.381723541428571
-5.382625771428572,-5.382625771428572
-5.383453144047619,-5.383453144047619
-5.384383101666667,-5.384383101666667
-5.385142366190476,-5.385142366190476
-5.385816681904762,-5.385816681904762
-5.386584052380952,-5.386584052380952
-5.387442024047619,-5.387442024047619
-5.388371377142857,-5.388371377142857
-5.389185160714286,-5.389185160714286
-5.3898458116666665,-5.3898458116666665
-5.390420416190476,-5.390420416190476
-5.390867891904762,-5.390867891904762
-5.3911967490476185,-5.3911967490476185
-5.391496301904762,-5.391496301904762
-5.391939082619048,-5.391939082619048
-5.392325210238095,-5.392325210238095
-5.3926820230952375,-5.3926820230952375
-5.392984278095238,-5.392984278095238
-5.39310010952381,-5.39310010952381
-5.3932389190476195,-5.3932389190476195
-5.393304622142857,-5.393304622142857
-5.393337131190476,-5.393337131190476
-5.393543998809524,-5.393543998809524
-5.393629617142857,-5.393629617142857
-5.393715845238096,-5.393715845238096
-5.3938303959523815,-5.3938303959523815
-5.393783523333333,-5.393783523333333
-5.393776336904762,-5.393776336904762
-5.393870052142857,-5.393870052142857
-5.394215176666667,-5.394215176666667
